,original_feature_name,features,importances,colors
58,fourier.stat.4byte.moment.2,$Fourier$ $2^{nd}$ ${central}$ ${moment}$ $(4$ $bytes)$,0.0031144292616150523,blue
59,fourier.value.1byte.60,$Fourier$ $raw$ $value$ $60$ $(1$ $byte)$,0.0031118189033034287,blue
60,fourier.value.1byte.122,$Fourier$ $raw$ $value$ $122$ $(1$ $byte)$,0.0030777181544833446,blue
61,fourier.stat.4byte.autocorr,$Fourier$ $auto$-$correlation$ $(4$ $bytes)$,0.002881362263566578,blue
62,fourier.value.1byte.70,$Fourier$ $raw$ $value$ $70$ $(1$ $byte)$,0.002825615540850161,blue
63,advanced.moment_full.4,$4^{th}$ ${central}$ ${moment}$,0.002770562460643026,red
64,advanced.moment_full.12,$12^{th}$ ${central}$ ${moment}$,0.0027597368156994967,red
65,fourier.value.1byte.191,$Fourier$ $raw$ $value$ $191$ $(1$ $byte)$,0.002747313888149526,blue
66,fourier.value.1byte.101,$Fourier$ $raw$ $value$ $101$ $(1$ $byte)$,0.0026916837654966325,blue
67,advanced.moment_full.7,$7^{th}$ ${central}$ ${moment}$,0.0026844431446434803,red
68,fourier.value.1byte.127,$Fourier$ $raw$ $value$ $127$ $(1$ $byte)$,0.002652580154514771,blue
69,fourier.value.4byte.250,$Fourier$ $raw$ $value$ $250$ $(4$ $bytes)$,0.002647678866675866,blue
70,fourier.value.1byte.186,$Fourier$ $raw$ $value$ $186$ $(1$ $byte)$,0.0026134573139147844,blue
71,fourier.value.4byte.142,$Fourier$ $raw$ $value$ $142$ $(4$ $bytes)$,0.0025896743852051748,blue
72,fourier.value.1byte.65,$Fourier$ $raw$ $value$ $65$ $(1$ $byte)$,0.002484909920771032,blue
73,fourier.value.1byte.150,$Fourier$ $raw$ $value$ $150$ $(1$ $byte)$,0.002452559002731822,blue
74,advanced.moment_full.5,$5^{th}$ ${central}$ ${moment}$,0.0024202723202315706,red
75,fourier.value.1byte.129,$Fourier$ $raw$ $value$ $129$ $(1$ $byte)$,0.002348540458015402,blue
76,fourier.value.4byte.2,$Fourier$ $raw$ $value$ $2$ $(4$ $bytes)$,0.002308983444457418,blue
77,fourier.value.4byte.154,$Fourier$ $raw$ $value$ $154$ $(4$ $bytes)$,0.002306044785796275,blue
78,fourier.value.4byte.5,$Fourier$ $raw$ $value$ $5$ $(4$ $bytes)$,0.002285364603531358,blue
79,fourier.value.1byte.40,$Fourier$ $raw$ $value$ $40$ $(1$ $byte)$,0.002241527370028419,blue
80,fourier.value.4byte.219,$Fourier$ $raw$ $value$ $219$ $(4$ $bytes)$,0.0022002628119047983,blue
81,fourier.stat.4byte.moment.3,$Fourier$ $3^{rd}$ ${central}$ ${moment}$ $(4$ $bytes)$,0.0021920629193894147,blue
82,fourier.value.1byte.126,$Fourier$ $raw$ $value$ $126$ $(1$ $byte)$,0.0021905166743186955,blue
83,advanced.dit.tsallis.full.3,$Tsallis$ $entropy$ $(n = 3)$,0.002171730563282856,red
84,advanced.moment_full.11,$11^{th}$ ${central}$ ${moment}$,0.0021588922174834717,red
85,fourier.value.1byte.147,$Fourier$ $raw$ $value$ $147$ $(1$ $byte)$,0.0021582180101905575,blue
86,fourier.value.4byte.127,$Fourier$ $raw$ $value$ $127$ $(4$ $bytes)$,0.0021563129716848876,blue
87,advanced.moment_full.9,$9^{th}$ ${central}$ ${moment}$,0.0021082484978465783,red
88,fourier.value.4byte.97,$Fourier$ $raw$ $value$ $97$ $(4$ $bytes)$,0.0020949031837803884,blue
89,fourier.value.1byte.92,$Fourier$ $raw$ $value$ $92$ $(1$ $byte)$,0.0020830398641354837,blue
90,fourier.value.1byte.138,$Fourier$ $raw$ $value$ $138$ $(1$ $byte)$,0.002073073127388208,blue
91,fourier.value.1byte.159,$Fourier$ $raw$ $value$ $159$ $(1$ $byte)$,0.0020585929841067233,blue
92,fourier.value.4byte.246,$Fourier$ $raw$ $value$ $246$ $(4$ $bytes)$,0.0020407862536723125,blue
93,fourier.value.1byte.34,$Fourier$ $raw$ $value$ $34$ $(1$ $byte)$,0.002006175640596778,blue
94,fourier.value.1byte.221,$Fourier$ $raw$ $value$ $221$ $(1$ $byte)$,0.001996904730781303,blue
95,fourier.stat.1byte.moment.2,$Fourier$ $2^{nd}$ ${central}$ ${moment}$ $(1$ $byte)$,0.0019915957991778997,blue
96,fourier.value.1byte.125,$Fourier$ $raw$ $value$ $125$ $(1$ $byte)$,0.001981323150870251,blue
97,fourier.value.4byte.32,$Fourier$ $raw$ $value$ $32$ $(4$ $bytes)$,0.001969767477113896,blue
98,fourier.stat.4byte.moment.4,$Fourier$ $4^{th}$ ${central}$ ${moment}$ $(4$ $bytes)$,0.0019514505029608943,blue
99,fourier.value.4byte.126,$Fourier$ $raw$ $value$ $126$ $(4$ $bytes)$,0.0019455993990569076,blue
100,fourier.value.4byte.249,$Fourier$ $raw$ $value$ $249$ $(4$ $bytes)$,0.0019373449673858534,blue
101,fourier.value.1byte.137,$Fourier$ $raw$ $value$ $137$ $(1$ $byte)$,0.001921992198230468,blue
102,advanced.moment_full.14,$14^{th}$ ${central}$ ${moment}$,0.0019112263942833259,red
103,fourier.value.1byte.53,$Fourier$ $raw$ $value$ $53$ $(1$ $byte)$,0.0019070102381511425,blue
104,fourier.value.1byte.160,$Fourier$ $raw$ $value$ $160$ $(1$ $byte)$,0.0018934960753392484,blue
105,advanced.moment_full.6,$6^{th}$ ${central}$ ${moment}$,0.0018862953646665726,red
106,fourier.value.4byte.125,$Fourier$ $raw$ $value$ $125$ $(4$ $bytes)$,0.0018833321280940147,blue
107,fourier.value.1byte.102,$Fourier$ $raw$ $value$ $102$ $(1$ $byte)$,0.001879148929540725,blue
108,fourier.value.4byte.144,$Fourier$ $raw$ $value$ $144$ $(4$ $bytes)$,0.0018685247013730977,blue
109,fourier.value.1byte.64,$Fourier$ $raw$ $value$ $64$ $(1$ $byte)$,0.0018473376119689947,blue
110,fourier.value.1byte.198,$Fourier$ $raw$ $value$ $198$ $(1$ $byte)$,0.0018363729321722651,blue
111,fourier.value.1byte.149,$Fourier$ $raw$ $value$ $149$ $(1$ $byte)$,0.0018254965560601207,blue
112,advanced.moment_full.10,$10^{th}$ ${central}$ ${moment}$,0.0018243437734373922,red
113,fourier.value.1byte.211,$Fourier$ $raw$ $value$ $211$ $(1$ $byte)$,0.0018234973759045842,blue
114,fourier.value.1byte.114,$Fourier$ $raw$ $value$ $114$ $(1$ $byte)$,0.0018082144849693455,blue
115,fourier.value.1byte.158,$Fourier$ $raw$ $value$ $158$ $(1$ $byte)$,0.0017928037970114388,blue
116,fourier.value.1byte.93,$Fourier$ $raw$ $value$ $93$ $(1$ $byte)$,0.001775485730746003,blue
117,fourier.value.4byte.124,$Fourier$ $raw$ $value$ $124$ $(4$ $bytes)$,0.0017656918642177982,blue
118,fourier.value.1byte.43,$Fourier$ $raw$ $value$ $43$ $(1$ $byte)$,0.0017634858069643239,blue
119,fourier.value.1byte.163,$Fourier$ $raw$ $value$ $163$ $(1$ $byte)$,0.0017494834622774358,blue
120,fourier.value.1byte.146,$Fourier$ $raw$ $value$ $146$ $(1$ $byte)$,0.0017354530193514081,blue
121,fourier.value.1byte.30,$Fourier$ $raw$ $value$ $30$ $(1$ $byte)$,0.0017332470538409333,blue
122,fourier.value.1byte.217,$Fourier$ $raw$ $value$ $217$ $(1$ $byte)$,0.0016846055053771514,blue
123,fourier.value.1byte.38,$Fourier$ $raw$ $value$ $38$ $(1$ $byte)$,0.0016797116902593412,blue
124,fourier.value.4byte.218,$Fourier$ $raw$ $value$ $218$ $(4$ $bytes)$,0.0016790765008850939,blue
125,fourier.value.1byte.91,$Fourier$ $raw$ $value$ $91$ $(1$ $byte)$,0.001673284018303433,blue
126,fourier.value.1byte.62,$Fourier$ $raw$ $value$ $62$ $(1$ $byte)$,0.0016700286930863163,blue
127,fourier.value.1byte.223,$Fourier$ $raw$ $value$ $223$ $(1$ $byte)$,0.0016530991592448821,blue
128,fourier.value.1byte.28,$Fourier$ $raw$ $value$ $28$ $(1$ $byte)$,0.0016471751487550398,blue
129,advanced.moment_full.13,$13^{th}$ ${central}$ ${moment}$,0.0016435853181445673,red
130,fourier.value.1byte.116,$Fourier$ $raw$ $value$ $116$ $(1$ $byte)$,0.001637916052062275,blue
131,fourier.value.1byte.44,$Fourier$ $raw$ $value$ $44$ $(1$ $byte)$,0.0016351475074365405,blue
132,fourier.value.1byte.207,$Fourier$ $raw$ $value$ $207$ $(1$ $byte)$,0.0016286417039338824,blue
133,fourier.value.1byte.244,$Fourier$ $raw$ $value$ $244$ $(1$ $byte)$,0.0016208719290459138,blue
134,fourier.value.1byte.179,$Fourier$ $raw$ $value$ $179$ $(1$ $byte)$,0.0016154823534545357,blue
135,fourier.value.1byte.117,$Fourier$ $raw$ $value$ $117$ $(1$ $byte)$,0.0016021755723399777,blue
136,fourier.value.1byte.213,$Fourier$ $raw$ $value$ $213$ $(1$ $byte)$,0.001591081875969233,blue
137,fourier.value.1byte.95,$Fourier$ $raw$ $value$ $95$ $(1$ $byte)$,0.0015910058056182513,blue
138,fourier.value.1byte.19,$Fourier$ $raw$ $value$ $19$ $(1$ $byte)$,0.0015772908375743342,blue
139,fourier.value.1byte.240,$Fourier$ $raw$ $value$ $240$ $(1$ $byte)$,0.0015710464296777016,blue
140,fourier.value.1byte.168,$Fourier$ $raw$ $value$ $168$ $(1$ $byte)$,0.001567799980611239,blue
141,fourier.value.4byte.21,$Fourier$ $raw$ $value$ $21$ $(4$ $bytes)$,0.0015642056956283173,blue
142,fourier.value.1byte.208,$Fourier$ $raw$ $value$ $208$ $(1$ $byte)$,0.0015623328941359793,blue
143,fourier.value.1byte.88,$Fourier$ $raw$ $value$ $88$ $(1$ $byte)$,0.0015517860538467082,blue
