,original_feature_name,features,importances,colors
69,fourier.stat.1byte.moment.8,$Fourier$ $8^{th}$ ${moment}$ $(1$ $byte)$,2.644813502086148e-05,blue
70,fourier.stat.4byte.moment.14,$Fourier$ $14^{th}$ ${moment}$ $(4$ $bytes)$,1.887674548526091e-05,blue
71,fourier.stat.4byte.moment.15,$Fourier$ $15^{th}$ ${moment}$ $(4$ $bytes)$,1.1032912560910468e-05,blue
72,fourier.stat.4byte.moment.13,$Fourier$ $13^{th}$ ${moment}$ $(4$ $bytes)$,8.320495660303146e-06,blue
73,fourier.stat.1byte.moment.9,$Fourier$ $9^{th}$ ${moment}$ $(1$ $byte)$,7.237930777167869e-06,blue
74,fourier.stat.1byte.moment.10,$Fourier$ $10^{th}$ ${moment}$ $(1$ $byte)$,5.202443014872869e-07,blue
75,fourier.stat.1byte.moment.12,$Fourier$ $12^{th}$ ${moment}$ $(1$ $byte)$,4.838317878489561e-08,blue
76,fourier.stat.1byte.moment.14,$Fourier$ $14^{th}$ ${moment}$ $(1$ $byte)$,0.0,blue
77,fourier.stat.1byte.moment.11,$Fourier$ $11^{th}$ ${moment}$ $(1$ $byte)$,0.0,blue
78,fourier.stat.1byte.moment.15,$Fourier$ $15^{th}$ ${moment}$ $(1$ $byte)$,0.0,blue
79,fourier.stat.1byte.moment.13,$Fourier$ $13^{th}$ ${moment}$ $(1$ $byte)$,0.0,blue
