,run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
4218,baseline-and-advanced,0.73937460999792,0.8430039525691699,0.6972332015810276,0.6243478260869565,0.7877959590736157,0.6841428236654221,0.8105799210344029,0.8430039525691699,0.4056916996047431,0.594308300395257,0.15699604743083004
4219,baseline-and-advanced,0.7386913528297917,0.8326482213438735,0.692068511198946,0.6217786561264822,0.782860752907949,0.6813518661438235,0.8079757814475037,0.8326482213438735,0.4109090909090909,0.5890909090909091,0.1673517786561265
4220,baseline-and-advanced,0.8223251895534962,0.9054451006462385,0.8065387231761868,0.7570824761116165,0.8618857706288354,0.8336944588067665,0.9012977164080193,0.9054451006462385,0.6087198515769945,0.39128014842300557,0.09455489935376148
4221,baseline-and-advanced,0.8244050121940963,0.9093410840728487,0.810438654353562,0.7609904975122762,0.8647925427117946,0.8377379613670232,0.9032322991422419,0.9093410840728487,0.6126399109517037,0.38736008904829633,0.09065891592715129
4222,baseline-and-advanced,0.8230076074446284,0.9064992888504112,0.8076970646437994,0.7582898423225464,0.8627381740601779,0.838539128639352,0.9043921797928597,0.9064992888504112,0.6100803957946815,0.3899196042053185,0.09350071114958877
4223,baseline-and-advanced,0.823178752343903,0.9094647660863919,0.809407981530343,0.7593826829628052,0.8641732283464566,0.8376710915479392,0.9035232374857788,0.9094647660863919,0.6093005998392184,0.39069940016078164,0.09053523391360811
4224,baseline-and-advanced,0.8229897312159812,0.9069911258155283,0.8079444261213721,0.7584241387534139,0.862951031875616,0.8363833436932923,0.9028887276708712,0.9069911258155283,0.6098571516912993,0.3901428483087008,0.09300887418447172
4225,baseline-and-advanced,0.8216556940748004,0.9068674438019851,0.8066870052770448,0.756599883548386,0.8621612087718268,0.835952436621233,0.9026870591982735,0.9068674438019851,0.6063323232947869,0.393667676705213,0.0931325561980149
4226,baseline-and-advanced,0.8223929562852256,0.9068674438019851,0.807346635883905,0.7575893090631964,0.8625669078289512,0.8358690539416431,0.9024937748110693,0.9068674438019851,0.6083111743244078,0.3916888256755921,0.0931325561980149
4227,baseline-and-advanced,0.8254935550001404,0.9088800939954239,0.8111601253298153,0.7622940977089055,0.8651822636900119,0.8380209872020609,0.9031470634770593,0.9088800939954239,0.6157081014223872,0.38429189857761287,0.09111990600457609
