,run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,advanced-and-fourier-min,0.9058391337973705,0.9516554946171034,0.9263660369693276,0.9263660369693276,0.9281822684497276,0.9812990457266977,0.9794094756697522,0.9516554946171034,0.9010765793215519,0.0989234206784481,0.048344505382896606
1,advanced-and-fourier-min,0.9087941628264209,0.9616009752133279,0.9325545962417471,0.9325575463107062,0.934452122408687,0.9814455908268934,0.9785727387978842,0.9616009752133279,0.9035141174080845,0.0964858825919155,0.038399024786672085
2,advanced-and-fourier-min,0.9078820582000385,0.956936827137924,0.9299207800121877,0.9299207800121877,0.9317642405063291,0.981407644823518,0.9789261261083139,0.956936827137924,0.9029047328864513,0.09709526711354866,0.04306317286207597
3,advanced-and-fourier-min,0.9054236633854468,0.9528742636603696,0.9266707292301443,0.9266707292301442,0.9285431512272366,0.9797251015217945,0.977002771965826,0.9528742636603696,0.9004671947999188,0.09953280520008125,0.047125736339630304
4,advanced-and-fourier-min,0.9079907798693815,0.9601868779199675,0.9314442413162706,0.9314442413162706,0.933359660381084,0.9821060707018905,0.9796001257316302,0.9601868779199675,0.9027016047125737,0.09729839528742637,0.0398131220800325
5,advanced-and-fourier-min,0.9123490455784963,0.9514523664432257,0.9300223440991265,0.9300223440991267,0.931490504126479,0.9815882032002982,0.9797011035779479,0.9514523664432257,0.9085923217550275,0.09140767824497258,0.04854763355677433
6,advanced-and-fourier-min,0.9057187017001546,0.9522648791387366,0.9265617064499746,0.9265590954003313,0.9284087533419151,0.9802562056234893,0.9780412645562123,0.9522648791387366,0.9008533116619261,0.09914668833807395,0.047735120861263455
7,advanced-and-fourier-min,0.9095321296835566,0.9516554946171034,0.9284916201117318,0.9284892670159877,0.9301171332142149,0.9819936076942081,0.9801996090485515,0.9516554946171034,0.905323039414872,0.09467696058512799,0.048344505382896606
8,advanced-and-fourier-min,0.9113653995345229,0.9546932141405933,0.930929405789741,0.9309318193392384,0.9325262948997817,0.9820797782807698,0.9794814352973134,0.9546932141405933,0.9071704245378834,0.09282957546211659,0.04530678585940674
9,advanced-and-fourier-min,0.9027857829010567,0.9544992890513915,0.9258582165346334,0.9258582165346334,0.9279225908372829,0.9805542836835345,0.9785810354111182,0.9544992890513915,0.8972171440178753,0.10278285598212472,0.04550071094860857
10,advanced-and-fourier-min,0.6952236542835482,0.5800126502213788,0.6629249011857707,0.6629117946016789,0.6324137931034483,0.7391635736015516,0.7399823076717902,0.5800126502213788,0.7458109389819791,0.25418906101802086,0.4199873497786211
11,advanced-and-fourier-min,0.6721128852580764,0.5724225173940544,0.6466403162055336,0.6466285840210866,0.6182749786507259,0.7255737843259238,0.7281563571852019,0.5724225173940544,0.7208346506481189,0.27916534935188114,0.4275774826059456
12,advanced-and-fourier-min,0.689098780007871,0.5535883654758141,0.6518577075098814,0.651873246621525,0.6139551192145862,0.7349580648960756,0.7393253703982061,0.5535883654758141,0.7501581277672359,0.24984187223276408,0.4464116345241859
13,advanced-and-fourier-min,0.6711915535444947,0.5629348513598988,0.6436363636363637,0.6436236065209232,0.6123151014791882,0.7261588020724286,0.7269699686715265,0.5629348513598988,0.7243123616819476,0.2756876383180525,0.4370651486401012
14,advanced-and-fourier-min,0.6731428571428572,0.5586468542522921,0.6436363636363637,0.643649802837721,0.610573600552868,0.7185280749526618,0.7284260659737701,0.5586468542522921,0.7286527514231499,0.2713472485768501,0.4413531457477079
15,advanced-and-fourier-min,0.6767275615567911,0.53872905469491,0.6406324110671937,0.6406485248174107,0.59989438479141,0.7273137396881998,0.7313781758322938,0.53872905469491,0.7425679949399114,0.25743200506008856,0.4612709453050901
16,advanced-and-fourier-min,0.6853582554517134,0.5566097406704618,0.6505928853754941,0.6505780287291607,0.6143106457242582,0.7284728767135341,0.7310040238053952,0.5566097406704618,0.7445463167878597,0.25545368321214035,0.4433902593295383
17,advanced-and-fourier-min,0.6822100313479624,0.5504268099905153,0.6469565217391304,0.6469717857669212,0.6092738407699038,0.7209049407653284,0.7273779675864761,0.5504268099905153,0.743516761543327,0.256483238456673,0.44957319000948465
18,advanced-and-fourier-min,0.6716529543754675,0.5679949399114484,0.6452173913043479,0.6452051841511084,0.6154900616860864,0.724280666138341,0.7321508448266588,0.5679949399114484,0.7224154283907682,0.2775845716092317,0.43200506008855155
19,advanced-and-fourier-min,0.6669184290030211,0.5583306987037623,0.6396837944664031,0.6396966586497939,0.6078127688865944,0.7182642120517855,0.7297093453444055,0.5583306987037623,0.7210626185958254,0.27893738140417457,0.44166930129623777
20,advanced-and-fourier-min,0.7560258671369783,0.795299938157081,0.769325912183055,0.769325912183055,0.7751657625075347,0.8871163951047332,0.8943709711640133,0.795299938157081,0.743351886209029,0.2566481137909709,0.20470006184291897
21,advanced-and-fourier-min,0.7562265037593985,0.7961657390228819,0.7697588126159555,0.7697588126159555,0.7756823522323312,0.8857947541753531,0.8921081272264324,0.7961657390228819,0.743351886209029,0.2566481137909709,0.20383426097711813
22,advanced-and-fourier-min,0.759105281648905,0.801632451150136,0.7736070743924309,0.7736053412213265,0.7797894736842105,0.8869308917999776,0.8934880139155039,0.801632451150136,0.745578231292517,0.254421768707483,0.19836754884986396
23,advanced-and-fourier-min,0.7476721462237039,0.8043532030670294,0.766433739410055,0.7664313943597361,0.7749776586237712,0.8871967719923622,0.8945437087787182,0.8043532030670294,0.7285095856524428,0.2714904143475572,0.19564679693297057
