,run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
1146,advanced-and-fourier,0.6084019162265079,0.5030980192991367,0.5896602508760347,0.5896558550690281,0.5507617035472033,0.6547248809936095,0.7044473947983272,0.5030980192991367,0.6762136908389194,0.32378630916108064,0.4969019807008634
1147,advanced-and-fourier,0.6325057005320497,0.50710948608572,0.6062160377837591,0.6062210711281826,0.5629086809470123,0.6604353050177405,0.7089596632259968,0.50710948608572,0.705332656170645,0.294667343829355,0.4928905139142799
1148,advanced-and-fourier,0.6275879588466913,0.5018281535648994,0.6020009141232034,0.6020060016173914,0.5577064168406795,0.6522267861584397,0.7028344464491304,0.5018281535648994,0.7021838496698832,0.2978161503301168,0.49817184643510054
1149,advanced-and-fourier,0.6132312327391414,0.49619095987811074,0.5916408511502717,0.5916360040097439,0.5485374206950762,0.6494173501996774,0.6994792489541499,0.49619095987811074,0.6870810481413772,0.3129189518586228,0.5038090401218893
1150,advanced-and-fourier,0.5030021615563206,0.9933596837944664,0.5059288537549407,0.5059288537549407,0.6678358843537415,0.5061133778062461,0.7494951137537018,0.9933596837944664,0.01849802371541502,0.981501976284585,0.0066403162055335965
1151,advanced-and-fourier,0.5041726849622854,0.9933596837944664,0.5082213438735178,0.5082213438735178,0.6688667695747059,0.508490518520833,0.7499072749904947,0.9933596837944664,0.02308300395256917,0.9769169960474309,0.0066403162055335965
1152,advanced-and-fourier,0.5024421490912002,0.9920948616600791,0.5048221343873518,0.5048221343873518,0.6670564473264591,0.5053219391023138,0.7490574362215546,0.9920948616600791,0.017549407114624507,0.9824505928853755,0.007905138339920948
1153,advanced-and-fourier,0.5035245113745594,0.9938339920948617,0.5069565217391304,0.5069565217391304,0.6684034238928174,0.5071537939977191,0.749839331970576,0.9938339920948617,0.02007905138339921,0.9799209486166008,0.0061660079051383395
1154,advanced-and-fourier,0.5032428537112659,0.9936758893280633,0.506403162055336,0.506403162055336,0.668119485489529,0.506669024668406,0.7496762360575537,0.9936758893280633,0.019130434782608695,0.9808695652173913,0.006324110671936759
1155,advanced-and-fourier,0.5027580142297545,0.994308300395257,0.5054545454545455,0.5054545454545455,0.6678347669109057,0.5059449139964693,0.7498057222922133,0.994308300395257,0.016600790513833993,0.983399209486166,0.005691699604743083
1156,advanced-and-fourier,0.5028438676600177,0.9924110671936759,0.5056126482213439,0.5056126482213439,0.6674819225861336,0.505801509162774,0.7491797849334692,0.9924110671936759,0.018814229249011858,0.9811857707509881,0.00758893280632411
1157,advanced-and-fourier,0.5025673940949936,0.9903557312252964,0.5050592885375494,0.5050592885375494,0.6667731119271915,0.5060340264650284,0.748846342061329,0.9903557312252964,0.019762845849802372,0.9802371541501976,0.009644268774703557
1158,advanced-and-fourier,0.5041633306645317,0.9955731225296442,0.5082213438735178,0.5082213438735178,0.6693595535477013,0.5090253433110968,0.7509844891852228,0.9955731225296442,0.020869565217391306,0.9791304347826087,0.004426877470355731
1159,advanced-and-fourier,0.5031994880819068,0.9946245059288538,0.5063241106719367,0.5063241106719367,0.668295533011101,0.5074480401193582,0.7502676514667144,0.9946245059288538,0.018023715415019764,0.9819762845849802,0.005375494071146245
1160,advanced-and-fourier,0.5220846606022791,0.9831787260358689,0.5416035373055873,0.5416171906105385,0.6820102528903285,0.5703631970268895,0.7187462230340608,0.9831787260358689,0.10005565518520809,0.8999443448147919,0.016821273964131106
1161,advanced-and-fourier,0.5228618421052632,0.9829324098695195,0.5429640394545623,0.5429504349904184,0.6826136436838377,0.5661500941526031,0.7509898538809194,0.9829324098695195,0.10296846011131726,0.8970315398886828,0.017067590130480488
1162,advanced-and-fourier,0.5237374069928228,0.9837971552257266,0.5446028261340095,0.5446164058238583,0.6835682365073908,0.5631224222476641,0.7521720887482382,0.9837971552257266,0.10543565642198999,0.8945643435780101,0.016202844774273344
1163,advanced-and-fourier,0.5229037778070291,0.9826839826839827,0.5430568009647198,0.5430703940381759,0.682589458310065,0.5643848843836476,0.7533079540176243,0.9826839826839827,0.10345680539236905,0.896543194607631,0.017316017316017316
1164,advanced-and-fourier,0.5240457262991919,0.9865190773607074,0.5452662173025787,0.5452662173025787,0.6844871602342694,0.5623288877623338,0.7548617993523892,0.9865190773607074,0.10401335724444995,0.8959866427555501,0.013480922639292561
1165,advanced-and-fourier,0.5239175461090837,0.9854678127512213,0.544973872174639,0.5449602514590985,0.6841246672962994,0.5606843576193471,0.7538573417256854,0.9854678127512213,0.10445269016697588,0.8955473098330241,0.014532187248778678
1166,advanced-and-fourier,0.521122599704579,0.9817574670706821,0.5397792276058254,0.5397655609935971,0.680847414014924,0.5823012227810942,0.7491112044271218,0.9817574670706821,0.09777365491651206,0.902226345083488,0.018242532929317913
1167,advanced-and-fourier,0.5231516424375677,0.9858998144712431,0.5436442905290498,0.5436579648696578,0.6835752417297345,0.5584442928232958,0.7541866222842422,0.9858998144712431,0.10141611526807248,0.8985838847319275,0.014100185528756958
1168,advanced-and-fourier,0.5228333333333334,0.9699461999876322,0.5423597798528229,0.542359779852823,0.6794308115483745,0.5737909557377588,0.6550203836686382,0.9699461999876322,0.11477335971801372,0.8852266402819863,0.03005380001236782
1169,advanced-and-fourier,0.522889583676156,0.98249953620679,0.5429949599579481,0.5429813698349967,0.6825328636480797,0.5820264709568312,0.7403687191054756,0.98249953620679,0.10346320346320347,0.8965367965367965,0.017500463793210068
1170,advanced-and-fourier,0.812515499710672,0.9982734105220394,0.8839571377786806,0.8839513319750878,0.895866563368728,0.8851162137651164,0.9064284165702905,0.9982734105220394,0.7696292534281362,0.23037074657186388,0.0017265894779605931
1171,advanced-and-fourier,0.8172141372141372,0.9980702823481616,0.8874162096282754,0.8874162096282754,0.8986328928718395,0.8883433455346399,0.9085818628137063,0.9980702823481616,0.7767621369083892,0.2232378630916108,0.00192971765183831
1172,advanced-and-fourier,0.8129234837216989,0.9991874873044891,0.8846231972374569,0.8846231972374569,0.8964825952250774,0.885085795555846,0.9064853643160872,0.9991874873044891,0.7700589071704246,0.22994109282957545,0.0008125126955108674
1173,advanced-and-fourier,0.8114794656110836,0.9993906154783668,0.8836016454217663,0.883595764823998,0.8956854178044784,0.8843354959417178,0.9060162070246897,0.9993906154783668,0.7678009141696293,0.23219908583037074,0.0006093845216331506
