run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.8566702789839995,0.13655049681134523,0.8670509608668134,0.1666305368286791,0.8475084833385839,0.14688852738983954,0.8210243891912152,0.1641629652669531,0.8605932340643638,0.15165887030905123,0.8683526244590458,0.15398580093434358,0.8993908090231062,0.13127886161074634,0.8670509608668134,0.1666305368286791,0.7749978175156169,0.20637062114788376,0.225002182484383,0.20637062114788382,0.1329490391331865,0.1666305368286791
advanced-and-fourier-min,0.8801843515388542,0.10353069071151955,0.922195517664527,0.08813280142747641,0.885884099369401,0.09759671056866524,0.8578947428560307,0.1193381423373244,0.9002985326142174,0.0949269842463818,0.9131595480148993,0.09009176201017698,0.9326596076281832,0.08044459515800721,0.922195517664527,0.08813280142747641,0.7935939680475345,0.18725494481953164,0.20640603195246562,0.18725494481953175,0.07780448233547306,0.08813280142747633
advanced-only,0.856823000587065,0.09963276468766796,0.9030417932841621,0.09030449209320898,0.8612861638171007,0.09241475939948034,0.827907651794062,0.11039517930793287,0.8789612023752477,0.09380552739288252,0.8941094336637374,0.08697495632580045,0.9177654973207484,0.0808153499860463,0.9030417932841621,0.09030449209320898,0.7527735103039621,0.17555926565309213,0.24722648969603797,0.17555926565309216,0.09695820671583781,0.09030449209320895
baseline-advanced-and-fourier,0.8572693049709242,0.13497285971034287,0.885286694645005,0.1411701998753366,0.8535760006193431,0.14011926560838645,0.822722098857085,0.164424855040895,0.870565232701496,0.13725537568589757,0.8699132853767167,0.15360503916644871,0.9018714431202862,0.12842075815136478,0.885286694645005,0.1411701998753366,0.7601575030691651,0.23058245271333186,0.23984249693083493,0.23058245271333186,0.11471330535499506,0.1411701998753367
baseline-advanced-and-fourier-min,0.8829881532489168,0.10306720767755995,0.9255116126099959,0.08612672596278795,0.889034219704109,0.09714273703685614,0.8612473852896801,0.1197264099716248,0.9033209085810545,0.0936995169578419,0.915442848925672,0.09057686546614416,0.9348714756578185,0.07986978302223012,0.9255116126099959,0.08612672596278795,0.7969831579693644,0.18935875346943712,0.20301684203063558,0.18935875346943715,0.07448838739000413,0.08612672596278788
baseline-and-advanced,0.8645177009631343,0.09936650082205017,0.9138142179468258,0.08570889233182144,0.8712514980666225,0.09202753276735637,0.8392494480686084,0.11111904541519696,0.8880873969949323,0.09152606467787693,0.9027207100088442,0.08682902041599135,0.924550352944765,0.07999076680894686,0.9138142179468258,0.08570889233182144,0.764684678190391,0.177404029766879,0.235315321809609,0.17740402976687908,0.0861857820531743,0.08570889233182148
baseline-and-fourier,0.8537292973920837,0.1315118164311902,0.9048524496160993,0.11765694276869385,0.8583903985645259,0.12839923622518742,0.8204286377362149,0.1583004983995525,0.8776726169835546,0.12269501084367394,0.8682213256547505,0.1455342255046874,0.897735092746203,0.1271856839089011,0.9048524496160993,0.11765694276869385,0.7360048258563304,0.2519671709882493,0.2639951741436696,0.2519671709882493,0.0951475503839007,0.11765694276869396
baseline-and-fourier-min,0.8627920405921752,0.12088868416796904,0.9123250396142044,0.10382627767702517,0.8688381654339243,0.11572039576088493,0.8358801839861248,0.14189289803162636,0.8862929735870381,0.11138377543173464,0.8883342833510206,0.12046643364384681,0.9123746916572818,0.10606389618488833,0.9123250396142044,0.10382627767702517,0.7594353283580454,0.2231980505983154,0.2405646716419546,0.2231980505983153,0.08767496038579568,0.10382627767702517
baseline-only,0.8359151899907462,0.1179788159925424,0.8885897172171114,0.1064312092454881,0.8392732326078863,0.11165609796538806,0.8000283498330225,0.13455656938679852,0.8609653717083551,0.11114153716089262,0.8616203031945721,0.1207154242247349,0.8910603962676089,0.10950842612641516,0.8885897172171114,0.1064312092454881,0.7114669824489337,0.21433800577578416,0.2885330175510663,0.21433800577578416,0.11141028278288852,0.10643120924548816
fourier-min,0.8387902100238898,0.13432684440544507,0.8878919182270147,0.11905252423893295,0.8417625776430823,0.1274701504247857,0.8052596073747549,0.15277389804180236,0.8620771496948303,0.12581906832519268,0.8557585901341338,0.1400529408896366,0.8814968758582029,0.1298310056752304,0.8878919182270147,0.11905252423893295,0.7226272965224947,0.2359435184928975,0.27737270347750526,0.23594351849289735,0.11210808177298517,0.11905252423893302
fourier-only,0.8517276241692529,0.13300224918729003,0.8917197276097991,0.12709923421555555,0.8518933262872219,0.13027937464837008,0.8145478365065804,0.15871874443991513,0.8701924939142014,0.1272389312653708,0.863781116711984,0.1474641136892842,0.8931199342929235,0.13083364818904783,0.8917197276097991,0.12709923421555555,0.7373759454033616,0.24948608912238057,0.2626240545966384,0.24948608912238043,0.10828027239020083,0.12709923421555558
