,size,time
0,512,0.0019816250423900783
1,1024,0.03228749998379499
2,2048,0.0018740409868769348
3,4096,0.010835374996531755
4,8192,0.027034875005483627
5,32768,0.0019768329802900553
6,65536,0.0037755409721285105
7,131072,0.014959499996621162
8,524288,0.01901737495791167
9,1048576,0.06472333299461752
10,2097152,0.049612416012678295
11,4194304,0.11789054202381521
12,8388608,0.1653894999762997
13,33554432,2.5636642500176094
14,67108864,1.4344395829830319
15,134217728,2.5225912909954786
16,268435456,5.3813819590141065
17,536870912,17.923169624991715
18,1073741824,349.16789899999276
19,1610612736,820.4419753749971
20,2147483648,1132.5282777500106
